link,queue,start,end,cycle
"(2, 3)",0,2800,3600,2000000
"(3, 4)",0,5600,6400,2000000
"(4, 12)",0,8400,9200,2000000
"(10, 2)",0,0,800,2000000
"(5, 13)",0,7600,8400,2000000
"(6, 5)",0,4800,5600,2000000
"(14, 6)",0,2000,2800,2000000
"(2, 3)",0,1985200,1986000,2000000
"(3, 4)",0,1988000,1988800,2000000
"(4, 5)",0,1990800,1991600,2000000
"(5, 6)",0,1993600,1994400,2000000
"(6, 7)",0,1996400,1997200,2000000
"(7, 15)",0,1999200,2000000,2000000
"(10, 2)",0,1982400,1983200,2000000
"(1, 2)",0,13200,14000,2000000
"(2, 10)",0,16000,16800,2000000
"(9, 1)",0,10400,11200,2000000
"(0, 8)",0,22400,23200,2000000
"(1, 0)",0,19600,20400,2000000
"(2, 1)",0,16800,17600,2000000
"(3, 2)",0,14000,14800,2000000
"(4, 3)",0,11200,12000,2000000
"(5, 4)",0,8400,9200,2000000
"(6, 5)",0,5600,6400,2000000
"(7, 6)",0,2800,3600,2000000
"(15, 7)",0,0,800,2000000
"(4, 12)",0,1992800,1993600,2000000
"(5, 4)",0,1990000,1990800,2000000
"(6, 5)",0,1987200,1988000,2000000
"(7, 6)",0,1984400,1985200,2000000
"(15, 7)",0,1981600,1982400,2000000
"(2, 10)",0,1999200,2000000,2000000
"(3, 2)",0,1996400,1997200,2000000
"(4, 3)",0,1993600,1994400,2000000
"(5, 4)",0,1990800,1991600,2000000
"(6, 5)",0,1988000,1988800,2000000
"(7, 6)",0,1985200,1986000,2000000
"(15, 7)",0,1982400,1983200,2000000
"(5, 13)",0,1991600,1992400,2000000
"(6, 5)",0,1988800,1989600,2000000
"(7, 6)",0,1986000,1986800,2000000
"(15, 7)",0,1983200,1984000,2000000
